c,V_history,V_coarse,regret,analytic_regret
0.0,1.0,0.5,0.5,0.5
0.01,0.99,0.5,0.49,0.49
0.02,0.98,0.5,0.48,0.48
0.03,0.97,0.5,0.47,0.47
0.04,0.96,0.5,0.45999999999999996,0.46
0.05,0.95,0.5,0.44999999999999996,0.45
0.06,0.94,0.5,0.43999999999999995,0.44
0.07,0.9299999999999999,0.5,0.42999999999999994,0.43
0.08,0.92,0.5,0.42000000000000004,0.42
0.09,0.91,0.5,0.41000000000000003,0.41000000000000003
0.1,0.9,0.5,0.4,0.4
0.11,0.89,0.5,0.39,0.39
0.12,0.88,0.5,0.38,0.38
0.13,0.87,0.5,0.37,0.37
0.14,0.86,0.5,0.36,0.36
0.15,0.85,0.5,0.35,0.35
0.16,0.84,0.5,0.33999999999999997,0.33999999999999997
0.17,0.83,0.5,0.32999999999999996,0.32999999999999996
0.18,0.8200000000000001,0.5,0.32000000000000006,0.32
0.19,0.81,0.5,0.31000000000000005,0.31
0.2,0.8,0.5,0.30000000000000004,0.3
0.21,0.79,0.5,0.29000000000000004,0.29000000000000004
0.22,0.78,0.5,0.28,0.28
0.23,0.77,0.5,0.27,0.27
0.24,0.76,0.5,0.26,0.26
0.25,0.75,0.5,0.25,0.25
0.26,0.74,0.5,0.24,0.24
0.27,0.73,0.5,0.22999999999999998,0.22999999999999998
0.28,0.72,0.5,0.21999999999999997,0.21999999999999997
0.29,0.71,0.5,0.20999999999999996,0.21000000000000002
0.3,0.7,0.5,0.19999999999999996,0.2
0.31,0.69,0.5,0.18999999999999995,0.19
0.32,0.6799999999999999,0.5,0.17999999999999994,0.18
0.33,0.6699999999999999,0.5,0.16999999999999993,0.16999999999999998
0.34,0.6599999999999999,0.5,0.15999999999999992,0.15999999999999998
0.35,0.65,0.5,0.15000000000000002,0.15000000000000002
0.36,0.64,0.5,0.14,0.14
0.37,0.63,0.5,0.13,0.13
0.38,0.62,0.5,0.12,0.12
0.39,0.61,0.5,0.10999999999999999,0.10999999999999999
0.4,0.6,0.5,0.09999999999999998,0.09999999999999998
0.41,0.5900000000000001,0.5,0.09000000000000008,0.09000000000000002
0.42,0.5800000000000001,0.5,0.08000000000000007,0.08000000000000002
0.43,0.5700000000000001,0.5,0.07000000000000006,0.07
0.44,0.56,0.5,0.06000000000000005,0.06
0.45,0.55,0.5,0.050000000000000044,0.04999999999999999
0.46,0.54,0.5,0.040000000000000036,0.03999999999999998
0.47,0.53,0.5,0.030000000000000027,0.030000000000000027
0.48,0.52,0.5,0.020000000000000018,0.020000000000000018
0.49,0.51,0.5,0.010000000000000009,0.010000000000000009
0.5,0.5,0.5,0.0,0.0
0.51,0.5,0.5,0.0,0.0
0.52,0.5,0.5,0.0,0.0
0.53,0.5,0.5,0.0,0.0
0.54,0.5,0.5,0.0,0.0
0.55,0.5,0.5,0.0,0.0
0.56,0.5,0.5,0.0,0.0
0.57,0.5,0.5,0.0,0.0
0.58,0.5,0.5,0.0,0.0
0.59,0.5,0.5,0.0,0.0
0.6,0.5,0.5,0.0,0.0
